Customer_ID,Age,Monthly_Income,Monthly_Spending,Number_of_Purchases,Website_Visits,Support_Calls,Payment_Method,Region,Previous_Campaign_Response,Churn
C0092,18,1701.62,325.53,4,9,0,Card,Matabeleland North,Yes,No
C0135,30,1359.09,260.33,7,15,2,Card,Mashonaland West,No,No
C0443,42,,208.05,4,8,4,Mobile Money,Mashonaland East,No,Yes
C0122,30,1118.26,,6,14,4,Card,Mashonaland Central,Yes,No
C0364,38,1289.88,197.97,8,16,2,Bank Transfer,Matabeleland South,No,No
C0491,40,797.9,231.38,9,6,3,Mobile Money,Masvingo,Yes,No
C0158,18,1482.73,292.77,8,11,1,Card,Bulawayo,No,No
C0425,40,1161.06,145.36,10,15,4,Bank Transfer,Manicaland,Yes,No
C0376,35,1749.86,569.31,5,20,0,,Mashonaland East,Yes,No
C0420,43,1505.07,420.39,11,11,1,Bank Transfer,Bulawayo,Yes,No
C0445,20,1017.75,148.48,8,12,1,,Mashonaland Central,Yes,No
C0409,27,990.07,372.12,11,15,6,Card,Mashonaland West,No,No
C0263,18,785.05,367.11,7,12,0,Card,Mashonaland West,Yes,No
C0349,18,570.76,276.26,6,14,6,Cash,Mashonaland East,No,No
C0316,28,1715.52,282.42,7,12,3,Mobile Money,Mashonaland West,Yes,No
C0285,59,1799.81,130.89,6,10,0,Card,Manicaland,Yes,No
C0369,21,15000.0,197.74,7,16,0,Card,Masvingo,Yes,No
C0435,47,881.35,420.25,2,12,0,Card,Matabeleland South,Yes,No
C0479,24,1400.2,,8,12,1,Cash,Midlands,Yes,Yes
C0266,28,1073.9,211.02,8,12,4,Mobile Money,Masvingo,No,No
C0209,41,2198.25,30.0,5,10,3,Card,Mashonaland Central,No,Yes
C0114,29,2256.94,400.83,7,6,1,,Masvingo,Yes,No
C0467,37,350.0,136.44,7,14,2,Card,Manicaland,No,No
C0381,49,1097.51,178.87,5,17,1,Mobile Money,Harare,No,No
C0055,31,919.18,74.68,4,5,3,Cash,Midlands,No,No
C0040,44,1309.2,191.26,6,18,1,Cash,Mashonaland Central,No,No
C0045,41,1976.02,398.61,9,13,3,Card,Mashonaland West,No,Yes
C0486,39,631.41,273.81,5,18,2,Mobile Money,Matabeleland South,No,No
C0400,26,1479.13,89.23,9,14,7,Card,Bulawayo,Yes,Yes
C0450,36,821.02,30.0,11,10,1,Mobile Money,Bulawayo,No,No
C0159,40,581.26,198.55,7,9,3,Mobile Money,Mashonaland Central,Yes,Yes
C0169,26,1232.79,30.0,6,11,2,Cash,Harare,Yes,No
C0084,40,643.41,377.62,7,16,5,Mobile Money,Mashonaland Central,No,No
C0062,25,1421.75,334.49,6,12,5,Mobile Money,Mashonaland Central,No,No
C0176,18,350.0,308.91,9,13,2,Card,Manicaland,No,No
C0465,33,1906.89,252.97,11,17,1,Mobile Money,Mashonaland East,No,No
C0142,21,1289.54,119.25,6,21,2,Card,Bulawayo,Yes,No
C0440,18,431.27,198.06,4,14,1,Card,Harare,Yes,No
C0431,50,1309.17,236.38,8,14,0,Mobile Money,Bulawayo,No,Yes
C0324,30,1153.67,340.45,5,10,2,Mobile Money,Masvingo,Yes,No
C0310,24,1105.69,66.99,11,16,2,Card,Bulawayo,No,No
C0458,33,1566.87,92.88,16,17,3,Card,Mashonaland East,No,No
C0006,32,1420.23,333.74,9,11,2,Mobile Money,Bulawayo,Yes,No
C0211,30,,399.13,6,8,1,Card,Mashonaland West,No,No
C0079,48,1248.54,330.72,4,17,1,Card,Matabeleland South,No,No
C0339,28,971.18,30.0,8,15,0,Cash,Harare,No,Yes
C0234,50,350.0,255.75,3,13,2,Cash,Harare,No,No
C0208,43,12000.0,147.79,7,9,4,Cash,Matabeleland South,Yes,No
C0009,32,1474.16,436.02,11,11,2,Card,Manicaland,No,No
C0085,39,850.17,228.36,5,13,4,Card,Manicaland,No,No
C0042,29,592.06,384.96,11,8,2,Card,Mashonaland East,No,Yes
C0280,46,1100.8,123.48,4,21,2,Card,Mashonaland West,Yes,Yes
C0379,39,1480.91,313.99,4,10,1,Card,Masvingo,No,No
C0231,33,1225.79,317.46,4,6,5,Cash,Harare,No,Yes
C0104,16,455.4,251.06,8,14,1,Cash,Masvingo,Yes,No
C0406,39,350.0,382.8,8,20,5,Card,Bulawayo,No,Yes
C0462,39,1242.33,141.04,7,15,1,Bank Transfer,Mashonaland Central,Yes,No
C0072,28,1117.06,363.16,10,9,3,Mobile Money,Manicaland,Yes,No
C0198,39,1125.12,268.28,13,11,3,Mobile Money,Mashonaland East,No,Yes
C0300,38,1054.68,255.32,5,7,1,Cash,Manicaland,Yes,No
C0495,39,1391.6,78.13,7,11,2,Card,Midlands,No,Yes
C0057,32,1434.0,316.14,7,12,1,Card,Mashonaland East,Yes,Yes
C0056,35,861.97,282.11,11,17,2,Card,Mashonaland West,No,No
C0416,30,1130.8,211.38,10,9,5,Card,Matabeleland South,No,No
C0398,30,1310.34,125.03,10,13,0,Card,Matabeleland North,No,No
C0402,24,350.0,209.91,5,13,1,Card,Mashonaland West,No,No
C0024,34,9500.0,459.03,5,8,5,Bank Transfer,Manicaland,Yes,No
C0134,20,,215.68,8,13,0,Mobile Money,Bulawayo,Yes,No
C0256,23,1092.6,358.24,7,16,2,Mobile Money,Mashonaland Central,Yes,No
C0237,42,1704.4,193.56,7,9,3,Card,Midlands,No,No
C0226,33,1231.02,192.54,5,6,2,Card,Midlands,Yes,No
C0424,28,1424.84,264.74,8,13,3,Mobile Money,Masvingo,No,No
C0002,37,1517.76,380.37,5,17,1,Cash,Mashonaland East,No,No
C0447,29,1016.03,169.59,9,13,2,Mobile Money,Mashonaland Central,Yes,No
C0483,38,1044.69,364.91,7,15,2,Mobile Money,Matabeleland South,Yes,No
C0487,34,1020.86,160.38,11,14,1,Mobile Money,Midlands,No,Yes
C0248,22,1284.69,143.57,10,11,4,Card,Masvingo,Yes,No
C0384,35,,107.01,8,13,3,Card,Matabeleland North,No,No
C0144,37,1116.6,285.18,4,15,1,Card,Manicaland,Yes,No
C0038,30,1209.79,409.94,7,8,3,Cash,Matabeleland South,No,No
C0262,18,1165.54,101.24,7,16,2,Cash,Harare,No,No
C0342,38,1269.96,377.28,4,8,2,Mobile Money,Bulawayo,Yes,No
C0197,20,,340.62,8,12,2,Mobile Money,Harare,No,No
C0478,25,1281.56,233.93,4,16,3,Mobile Money,Masvingo,Yes,No
C0038,30,1209.79,409.94,7,8,3,Cash,Matabeleland South,No,No
C0401,20,1819.11,267.49,5,9,1,Card,Manicaland,No,No
C0192,31,350.0,115.88,7,14,4,Card,Masvingo,No,Yes
C0155,43,1492.0,393.1,6,15,1,Card,Bulawayo,No,No
C0333,39,1072.86,284.51,5,9,2,Bank Transfer,Harare,Yes,No
C0212,39,1715.13,381.3,9,25,0,Card,Matabeleland South,No,No
C0110,46,1364.91,115.51,11,22,3,Bank Transfer,Matabeleland North,Yes,No
C0448,25,350.0,,14,8,4,Cash,Manicaland,No,No
C0008,38,350.0,269.62,6,17,3,Mobile Money,Masvingo,No,No
C0120,40,1487.33,190.72,3,7,2,Card,Matabeleland North,No,No
C0214,24,853.22,78.71,5,9,2,Cash,Bulawayo,No,Yes
C0355,44,705.1,327.07,11,6,5,Cash,Harare,Yes,Yes
C0291,38,1454.12,304.61,6,8,4,Mobile Money,Midlands,No,No
C0374,53,2293.96,267.16,6,12,3,Mobile Money,Midlands,No,No
C0286,45,844.48,397.53,9,18,2,Card,Matabeleland South,No,No
C0451,33,1128.07,202.4,10,10,4,Card,Mashonaland East,No,No
C0081,50,1562.88,239.07,9,7,1,Mobile Money,Mashonaland Central,Yes,No
C0490,24,1256.05,113.61,7,8,1,Mobile Money,Mashonaland Central,No,No
C0174,48,1202.18,327.59,6,11,4,Bank Transfer,Mashonaland East,Yes,No
C0255,37,1882.21,205.81,8,5,2,Mobile Money,Masvingo,No,No
C0166,26,1089.42,323.19,4,14,2,Cash,Manicaland,No,No
C0375,44,1241.32,167.89,9,12,5,Mobile Money,Matabeleland North,Yes,No
C0073,58,1074.65,221.37,6,10,4,Mobile Money,Midlands,No,No
C0358,38,1776.57,409.87,14,16,3,Card,Matabeleland South,No,No
C0007,32,1769.44,266.89,9,16,1,Card,Bulawayo,No,No
C0221,20,652.64,309.36,10,13,3,Mobile Money,Mashonaland East,No,No
C0145,26,969.8,194.91,9,16,1,Bank Transfer,Manicaland,No,No
C0444,33,1316.64,187.98,9,10,1,Card,Mashonaland Central,No,No
C0031,23,1831.17,434.99,7,9,3,Mobile Money,Harare,No,No
C0433,26,1093.81,30.0,9,19,2,Mobile Money,Matabeleland North,Yes,No
C0347,43,1978.34,289.56,5,14,5,Cash,Mashonaland West,Yes,No
C0016,29,955.12,310.15,4,12,1,Card,Mashonaland Central,No,No
C0269,37,1089.29,292.01,4,9,3,Card,Manicaland,No,No
C0372,31,1523.0,4500.0,3,12,4,Card,Masvingo,No,No
C0012,40,2656.3,122.37,8,17,4,Mobile Money,Midlands,No,Yes
C0482,37,,307.36,10,12,1,Card,Matabeleland South,Yes,No
C0343,39,1760.6,229.93,11,19,1,Card,Harare,No,No
C0087,28,1253.63,176.87,7,13,5,Mobile Money,Matabeleland North,Yes,Yes
C0178,31,1186.28,225.61,8,10,2,Mobile Money,Mashonaland East,No,Yes
C0139,25,1534.68,391.09,7,5,2,Mobile Money,Midlands,No,Yes
C0103,44,1524.71,206.16,3,12,1,Card,Mashonaland West,No,No
C0205,38,994.18,469.51,9,15,2,Mobile Money,Mashonaland Central,Yes,Yes
C0423,45,2298.7,522.87,11,10,3,Card,Midlands,No,No
C0459,33,1302.93,186.35,8,18,4,Mobile Money,Matabeleland North,No,No
C0100,25,1826.26,450.18,5,11,6,Cash,Mashonaland East,No,Yes
C0207,30,1113.22,332.57,7,9,4,Mobile Money,Masvingo,No,No
C0313,26,350.0,265.18,7,12,2,Mobile Money,Harare,No,No
C0041,37,998.26,267.65,8,9,3,Mobile Money,Midlands,Yes,No
C0019,34,1719.13,332.5,4,9,1,Card,Mashonaland Central,No,No
C0396,43,783.12,192.05,3,15,1,Mobile Money,Bulawayo,No,No
C0311,32,,110.53,5,8,4,Card,Midlands,Yes,No
C0013,34,1440.86,244.53,6,10,4,Card,Manicaland,No,No
C0350,45,1652.38,439.27,7,10,2,Mobile Money,Mashonaland West,No,No
C0101,18,1613.36,360.89,9,12,2,Card,Manicaland,No,No
C0152,33,,362.84,4,11,2,Mobile Money,Bulawayo,No,No
C0243,42,1504.19,254.9,3,10,1,Card,Matabeleland North,No,No
C0201,37,350.0,581.49,7,17,5,Card,Matabeleland South,No,No
C0387,29,1331.06,368.15,6,5,7,Card,Midlands,Yes,No
C0386,38,350.0,166.46,6,18,3,,Manicaland,Yes,No
C0304,51,,288.71,6,9,0,Card,Harare,Yes,Yes
C0394,50,1686.11,553.69,8,20,4,Mobile Money,Matabeleland North,No,No
